"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1682,1372893793000,1372895475000,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,454,"E 51 St & 1 Ave",40.75455731,-73.96592976,18466,"Subscriber",1963,2
632,1372894449000,1372895081000,537,"Lexington Ave & E 24 St",40.74025878,-73.98409214,433,"E 13 St & Avenue A",40.72955361,-73.98057249,17897,"Subscriber",1967,1
773,1372897233000,1372898006000,361,"Allen St & Hester St",40.71605866,-73.99190759,415,"Pearl St & Hanover Square",40.704717699999996,-74.00926027,18814,"Subscriber",1983,1
542,1372897763000,1372898305000,312,"Allen St & E Houston St",40.722055,-73.989111,2003,"1 Ave & E 18 St",40.73416059,-73.98024289,20554,"Subscriber",1984,1
170,1372898607000,1372898777000,320,"Church St & Leonard St",40.71743998,-74.00583475,146,"Hudson St & Reade St",40.71625008,-74.0091059,18145,"Subscriber",1976,1
579,1372899489000,1372900068000,127,"Barrow St & Hudson St",40.73172428,-74.00674436,473,"Rivington St & Chrystie St",40.72110063,-73.9919254,18793,"Subscriber",1977,1
534,1372899840000,1372900374000,470,"W 20 St & 8 Ave",40.74345335,-74.00004031,2004,"6 Ave & Broome St",40.724399,-74.00470399999999,17046,"Customer",,0
370,1372899915000,1372900285000,453,"W 22 St & 8 Ave",40.74475148,-73.99915362,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,16017,"Subscriber",1980,1
2887,1372907887000,1372910774000,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,16360,"Subscriber",1975,2
1005,1372920871000,1372921876000,415,"Pearl St & Hanover Square",40.704717699999996,-74.00926027,311,"Norfolk St & Broome St",40.7172274,-73.98802084,15120,"Subscriber",1979,1
1456,1372921333000,1372922789000,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,347,"W Houston St & Hudson St",40.72873888,-74.00748842,19113,"Customer",,0
1608,1372925337000,1372926945000,349,"Rivington St & Ridge St",40.71850211,-73.98329859,447,"8 Ave & W 52 St",40.76370739,-73.98516149999999,19742,"Subscriber",1989,1
541,1372950758000,1372951299000,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,15986,"Subscriber",1961,1
1707,1372955801000,1372957508000,173,"Broadway & W 49 St",40.76064679,-73.98442659,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,15594,"Customer",,0
1506,1372958826000,1372960332000,305,"E 58 St & 3 Ave",40.76095756,-73.96724467,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,17734,"Customer",,0
454,1372960412000,1372960866000,473,"Rivington St & Chrystie St",40.72110063,-73.9919254,497,"E 17 St & Broadway",40.73704984,-73.99009296,17693,"Subscriber",1985,2
727,1372963926000,1372964653000,127,"Barrow St & Hudson St",40.73172428,-74.00674436,426,"West St & Chambers St",40.71754834,-74.01322069,17889,"Customer",,0
413,1372965208000,1372965621000,303,"Mercer St & Spring St",40.72362738,-73.99949601,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,19188,"Customer",,0
333,1372965659000,1372965992000,432,"E 7 St & Avenue A",40.72621788,-73.98379855,504,"1 Ave & E 15 St",40.732218530000004,-73.98165557,17124,"Subscriber",1970,2
846,1372966824000,1372967670000,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,330,"Reade St & Broadway",40.71450451,-74.00562789,17854,"Subscriber",1986,1
286,1372966866000,1372967152000,442,"W 27 St & 7 Ave",40.746646999999996,-73.993915,428,"E 3 St & 1 Ave",40.72467721,-73.98783413,19168,"Subscriber",1979,1
2072,1372967077000,1372969149000,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,2003,"1 Ave & E 18 St",40.73416059,-73.98024289,15524,"Customer",,0
64,1372967386000,1372967450000,515,"W 43 St & 10 Ave",40.76009437,-73.99461843,359,"E 47 St & Park Ave",40.75510267,-73.97498696,18203,"Subscriber",1964,1
2061,1372967473000,1372969534000,304,"Broadway & Battery Pl",40.70463334,-74.01361706,432,"E 7 St & Avenue A",40.72621788,-73.98379855,18344,"Subscriber",1981,1
496,1372968156000,1372968652000,147,"Greenwich St & Warren St",40.71542197,-74.01121978,346,"Bank St & Hudson St",40.73652889,-74.00618026000001,15873,"Subscriber",1985,1
1467,1372969921000,1372971388000,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,328,"Watts St & Greenwich St",40.72405549,-74.00965965,18272,"Customer",,0
989,1372970024000,1372971013000,426,"West St & Chambers St",40.71754834,-74.01322069,315,"South St & Gouverneur Ln",40.70355377,-74.00670227,15618,"Customer",,0
757,1372971215000,1372971972000,266,"Avenue D & E 8 St",40.72368361,-73.97574813,285,"Broadway & E 14 St",40.73454567,-73.99074142,16775,"Customer",,0
359,1372971747000,1372972106000,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,20221,"Subscriber",1957,2
2490,1372975507000,1372977997000,348,"W Broadway & Spring St",40.72490985,-74.00154702,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,14816,"Customer",,0
4487,1372975996000,1372980483000,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,18552,"Customer",,0
1135,1372976889000,1372978024000,224,"Spruce St & Nassau St",40.71146364,-74.00552427,157,"Henry St & Atlantic Ave",40.69089272,-73.99612349,15394,"Subscriber",1980,1
2245,1372979290000,1372981535000,488,"W 39 St & 9 Ave",40.75645824,-73.99372222,426,"West St & Chambers St",40.71754834,-74.01322069,20273,"Customer",,0
1948,1372979504000,1372981452000,379,"W 31 St & 7 Ave",40.749156,-73.9916,529,"W 42 St & 8 Ave",40.7575699,-73.99098507000001,18771,"Customer",,0
877,1372980179000,1372981056000,539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,354,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558,19100,"Customer",,0
1851,1372981721000,1372983572000,479,"9 Ave & W 45 St",40.760192520000004,-73.9912551,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,17928,"Subscriber",1988,1
651,1372981928000,1372982579000,509,"9 Ave & W 22 St",40.7454973,-74.00197139000001,433,"E 13 St & Avenue A",40.72955361,-73.98057249,17945,"Subscriber",1969,1
1954,1372982092000,1372984046000,432,"E 7 St & Avenue A",40.72621788,-73.98379855,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,16052,"Subscriber",1964,2
1251,1372982606000,1372983857000,251,"Mott St & Prince St",40.72317958,-73.99480012000001,536,"1 Ave & E 30 St",40.74144387,-73.97536082,15458,"Subscriber",1987,2
950,1372984039000,1372984989000,352,"W 56 St & 6 Ave",40.76340613,-73.97722479000001,479,"9 Ave & W 45 St",40.760192520000004,-73.9912551,15251,"Subscriber",1981,2
1825,1372984130000,1372985955000,405,"Washington St & Gansevoort St",40.739323,-74.008119,414,"Pearl St & Anchorage Pl",40.70281858,-73.98765762000001,15219,"Subscriber",1976,2
2066,1372987382000,1372989448000,315,"South St & Gouverneur Ln",40.70355377,-74.00670227,426,"West St & Chambers St",40.71754834,-74.01322069,17948,"Subscriber",1969,2
368,1372987901000,1372988269000,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,536,"1 Ave & E 30 St",40.74144387,-73.97536082,19563,"Subscriber",1969,1
640,1372992108000,1372992748000,504,"1 Ave & E 15 St",40.732218530000004,-73.98165557,406,"Hicks St & Montague St",40.69512845,-73.99595065,20045,"Subscriber",1972,2
339,1372992259000,1372992598000,393,"E 5 St & Avenue C",40.72299208,-73.97995466,428,"E 3 St & 1 Ave",40.72467721,-73.98783413,16442,"Subscriber",1986,1
578,1372992265000,1372992843000,349,"Rivington St & Ridge St",40.71850211,-73.98329859,348,"W Broadway & Spring St",40.72490985,-74.00154702,18341,"Subscriber",1954,1
453,1372992466000,1372992919000,474,"5 Ave & E 29 St",40.745167699999996,-73.98683077,2021,"W 45 St & 8 Ave",40.75929124,-73.98859651000001,16713,"Subscriber",1966,2
574,1372992921000,1372993495000,79,"Franklin St & W Broadway",40.71911552,-74.00666661,348,"W Broadway & Spring St",40.72490985,-74.00154702,19853,"Subscriber",1959,2
550,1372994022000,1372994572000,363,"West Thames St",40.70834698,-74.01713445,345,"W 13 St & 6 Ave",40.73649403,-73.99704374,19904,"Customer",,0
60,1372999617000,1372999677000,305,"E 58 St & 3 Ave",40.76095756,-73.96724467,305,"E 58 St & 3 Ave",40.76095756,-73.96724467,16150,"Customer",,0
287,1372999948000,1373000235000,319,"Park Pl & Church St",40.71336124,-74.00937622000001,324,"DeKalb Ave & Hudson Ave",40.689887999999996,-73.98101299999999,19162,"Subscriber",1956,1
925,1373001350000,1373002275000,212,"W 16 St & The High Line",40.74334935,-74.00681753,280,"E 10 St & 5 Ave",40.73331967,-73.99510132,18157,"Customer",,0
1022,1373003226000,1373004248000,458,"11 Ave & W 27 St",40.751396,-74.005226,439,"E 4 St & 2 Ave",40.7262807,-73.98978041,16461,"Subscriber",1986,1
819,1373003298000,1373004117000,482,"W 15 St & 7 Ave",40.73935542,-73.99931783,375,"Mercer St & Bleecker St",40.72679454,-73.99695094,18820,"Subscriber",1953,1
1316,1373004669000,1373005985000,497,"E 17 St & Broadway",40.73704984,-73.99009296,146,"Hudson St & Reade St",40.71625008,-74.0091059,15101,"Subscriber",1960,1
1364,1373006572000,1373007936000,466,"W 25 St & 6 Ave",40.743954110000004,-73.99144871,224,"Spruce St & Nassau St",40.71146364,-74.00552427,19697,"Subscriber",1984,1
175,1373007267000,1373007442000,331,"Pike St & Monroe St",40.71173107,-73.99193043,361,"Allen St & Hester St",40.71605866,-73.99190759,14790,"Subscriber",1978,1
1303,1373007458000,1373008761000,250,"Lafayette St & Jersey St",40.72456089,-73.99565293,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,18450,"Customer",,0
855,1373007923000,1373008778000,516,"E 47 St & 1 Ave",40.75206862,-73.96784384,2022,"E 59 St & Sutton Pl",40.75849116,-73.95920622,16020,"Customer",,0
1102,1373009968000,1373011070000,345,"W 13 St & 6 Ave",40.73649403,-73.99704374,72,"W 52 St & 11 Ave",40.76727216,-73.99392888,19005,"Customer",,0
1186,1373015870000,1373017056000,405,"Washington St & Gansevoort St",40.739323,-74.008119,486,"Broadway & W 29 St",40.7462009,-73.98855723,17328,"Customer",,0
481,1373029818000,1373030299000,448,"W 37 St & 10 Ave",40.75660359,-73.99790089999999,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,14825,"Subscriber",1990,1
206,1373037974000,1373038180000,280,"E 10 St & 5 Ave",40.73331967,-73.99510132,509,"9 Ave & W 22 St",40.7454973,-74.00197139000001,17925,"Subscriber",1986,1
1155,1373039307000,1373040462000,490,"8 Ave & W 33 St",40.751551,-73.993934,323,"Lawrence St & Willoughby St",40.69236178,-73.98631746,19225,"Subscriber",1979,1
330,1373039327000,1373039657000,426,"West St & Chambers St",40.71754834,-74.01322069,249,"Harrison St & Hudson St",40.71870987,-74.0090009,17112,"Subscriber",1967,1
694,1373042204000,1373042898000,490,"8 Ave & W 33 St",40.751551,-73.993934,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,20241,"Subscriber",1985,2
