Code,Name,dispCode,updatedCode
U+1F468 U+200D U+1F469 U+200D U+1F467,"family: man, woman, girl",U0001F468 U000200D U0001F469 U000200D U0001F467,U0001F468 U0000200D U0001F469 U0000200D U0001F467
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: man, woman, girl, boy",U0001F468 U000200D U0001F469 U000200D U0001F467 U000200D U0001F466,U0001F468 U0000200D U0001F469 U0000200D U0001F467 U0000200D U0001F466
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: man, woman, boy, boy",U0001F468 U000200D U0001F469 U000200D U0001F466 U000200D U0001F466,U0001F468 U0000200D U0001F469 U0000200D U0001F466 U0000200D U0001F466
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: man, woman, girl, girl",U0001F468 U000200D U0001F469 U000200D U0001F467 U000200D U0001F467,U0001F468 U0000200D U0001F469 U0000200D U0001F467 U0000200D U0001F467
U+1F468 U+200D U+1F468 U+200D U+1F466,"family: man, man, boy",U0001F468 U000200D U0001F468 U000200D U0001F466,U0001F468 U0000200D U0001F468 U0000200D U0001F466
U+1F468 U+200D U+1F468 U+200D U+1F467,"family: man, man, girl",U0001F468 U000200D U0001F468 U000200D U0001F467,U0001F468 U0000200D U0001F468 U0000200D U0001F467
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,"family: man, man, girl, boy",U0001F468 U000200D U0001F468 U000200D U0001F467 U000200D U0001F466,U0001F468 U0000200D U0001F468 U0000200D U0001F467 U0000200D U0001F466
U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, man, boy, boy",U0001F468 U000200D U0001F468 U000200D U0001F466 U000200D U0001F466,U0001F468 U0000200D U0001F468 U0000200D U0001F466 U0000200D U0001F466
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,"family: man, man, girl, girl",U0001F468 U000200D U0001F468 U000200D U0001F467 U000200D U0001F467,U0001F468 U0000200D U0001F468 U0000200D U0001F467 U0000200D U0001F467
U+1F469 U+200D U+1F469 U+200D U+1F466,"family: woman, woman, boy",U0001F469 U000200D U0001F469 U000200D U0001F466,U0001F469 U0000200D U0001F469 U0000200D U0001F466
U+1F469 U+200D U+1F469 U+200D U+1F467,"family: woman, woman, girl",U0001F469 U000200D U0001F469 U000200D U0001F467,U0001F469 U0000200D U0001F469 U0000200D U0001F467
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,"family: woman, woman, girl, boy",U0001F469 U000200D U0001F469 U000200D U0001F467 U000200D U0001F466,U0001F469 U0000200D U0001F469 U0000200D U0001F467 U0000200D U0001F466
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,"family: woman, woman, boy, boy",U0001F469 U000200D U0001F469 U000200D U0001F466 U000200D U0001F466,U0001F469 U0000200D U0001F469 U0000200D U0001F466 U0000200D U0001F466
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,"family: woman, woman, girl, girl",U0001F469 U000200D U0001F469 U000200D U0001F467 U000200D U0001F467,U0001F469 U0000200D U0001F469 U0000200D U0001F467 U0000200D U0001F467
U+1F468 U+200D U+1F466,"family: man, boy",U0001F468 U000200D U0001F466,U0001F468 U0000200D U0001F466
U+1F468 U+200D U+1F466 U+200D U+1F466,"family: man, boy, boy",U0001F468 U000200D U0001F466 U000200D U0001F466,U0001F468 U0000200D U0001F466 U0000200D U0001F466
U+1F468 U+200D U+1F467,"family: man, girl",U0001F468 U000200D U0001F467,U0001F468 U0000200D U0001F467
