_,Code,Name
367,U+1F575 U+1F3FE U+200D U+2642 U+FE0F,man detective: medium-dark skin tone
368,U+1F575 U+1F3FF U+200D U+2642 U+FE0F,man detective: dark skin tone
369,U+1F575 U+FE0F U+200D U+2640 U+FE0F,woman detective
370,U+1F575 U+1F3FB U+200D U+2640 U+FE0F,woman detective: light skin tone
371,U+1F575 U+1F3FC U+200D U+2640 U+FE0F,woman detective: medium-light skin tone
372,U+1F575 U+1F3FD U+200D U+2640 U+FE0F,woman detective: medium skin tone
373,U+1F575 U+1F3FE U+200D U+2640 U+FE0F,woman detective: medium-dark skin tone
374,U+1F575 U+1F3FF U+200D U+2640 U+FE0F,woman detective: dark skin tone
375,U+1F482,guard
376,U+1F482 U+1F3FB,guard: light skin tone
377,U+1F482 U+1F3FC,guard: medium-light skin tone
378,U+1F482 U+1F3FD,guard: medium skin tone
379,U+1F482 U+1F3FE,guard: medium-dark skin tone
380,U+1F482 U+1F3FF,guard: dark skin tone
381,U+1F482 U+200D U+2642 U+FE0F,man guard
382,U+1F482 U+1F3FB U+200D U+2642 U+FE0F,man guard: light skin tone
383,U+1F482 U+1F3FC U+200D U+2642 U+FE0F,man guard: medium-light skin tone
384,U+1F482 U+1F3FD U+200D U+2642 U+FE0F,man guard: medium skin tone
385,U+1F482 U+1F3FE U+200D U+2642 U+FE0F,man guard: medium-dark skin tone
386,U+1F482 U+1F3FF U+200D U+2642 U+FE0F,man guard: dark skin tone
387,U+1F482 U+200D U+2640 U+FE0F,woman guard
388,U+1F482 U+1F3FB U+200D U+2640 U+FE0F,woman guard: light skin tone
389,U+1F482 U+1F3FC U+200D U+2640 U+FE0F,woman guard: medium-light skin tone
390,U+1F482 U+1F3FD U+200D U+2640 U+FE0F,woman guard: medium skin tone
391,U+1F482 U+1F3FE U+200D U+2640 U+FE0F,woman guard: medium-dark skin tone
392,U+1F482 U+1F3FF U+200D U+2640 U+FE0F,woman guard: dark skin tone
393,U+1F477,construction worker
394,U+1F477 U+1F3FB,construction worker: light skin tone
395,U+1F477 U+1F3FC,construction worker: medium-light skin tone
396,U+1F477 U+1F3FD,construction worker: medium skin tone
397,U+1F477 U+1F3FE,construction worker: medium-dark skin tone
398,U+1F477 U+1F3FF,construction worker: dark skin tone
399,U+1F477 U+200D U+2642 U+FE0F,man construction worker
400,U+1F477 U+1F3FB U+200D U+2642 U+FE0F,man construction worker: light skin tone
401,U+1F477 U+1F3FC U+200D U+2642 U+FE0F,man construction worker: medium-light skin tone
402,U+1F477 U+1F3FD U+200D U+2642 U+FE0F,man construction worker: medium skin tone
403,U+1F477 U+1F3FE U+200D U+2642 U+FE0F,man construction worker: medium-dark skin tone
404,U+1F477 U+1F3FF U+200D U+2642 U+FE0F,man construction worker: dark skin tone
405,U+1F477 U+200D U+2640 U+FE0F,woman construction worker
406,U+1F477 U+1F3FB U+200D U+2640 U+FE0F,woman construction worker: light skin tone
407,U+1F477 U+1F3FC U+200D U+2640 U+FE0F,woman construction worker: medium-light skin tone
408,U+1F477 U+1F3FD U+200D U+2640 U+FE0F,woman construction worker: medium skin tone
409,U+1F477 U+1F3FE U+200D U+2640 U+FE0F,woman construction worker: medium-dark skin tone
410,U+1F477 U+1F3FF U+200D U+2640 U+FE0F,woman construction worker: dark skin tone
411,U+1F473,person wearing turban
412,U+1F473 U+1F3FB,person wearing turban: light skin tone
413,U+1F473 U+1F3FC,person wearing turban: medium-light skin tone
