Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/17  24:00:00,803.847833418,102.087533008,432.274173974,0.0,34.9616554283,124.558693486,619.764012332,588.188333424,14.1616749024,17.4140040055
 12/18  01:00:00,802.116342152,102.087533008,431.623380325,0.0,46.0930336215,113.312780494,612.257153156,589.180194755,5.66466996096,17.4122884405
 12/18  02:00:00,802.471817323,102.087533008,432.144942169,0.0,46.0930336215,113.312780494,606.586512089,592.204578221,5.66466996096,8.71726390689
 12/18  03:00:00,802.338684388,102.087533008,432.202045478,0.0,46.0930336215,113.312780494,617.828650417,594.750026301,5.66466996096,17.4139541555
 12/18  04:00:00,802.199793662,102.087533008,431.72444625,0.0,46.0930336215,113.312780494,614.717428423,597.752214022,5.66466996096,11.30054444
 12/18  05:00:00,892.816788819,102.087533008,431.756192535,0.0,100.150657288,148.969399434,590.818541799,570.324580253,5.66466996096,14.8292915856
 12/18  06:00:00,895.195308204,102.087533008,432.900588431,0.0,100.150657288,149.894399434,1019.23956535,987.661789769,14.1616749024,17.4161006812
 12/18  07:00:00,1124.52785993,102.383927956,432.99989029,0.0,176.471037341,302.612436532,708.157230632,671.117344197,28.3233498048,8.7165366301
 12/18  08:00:00,1236.80315639,102.73410839,433.319332299,0.0,243.2593065,310.10971186,681.988554072,613.14088564,42.4850247072,26.3626437246
 12/18  09:00:00,1275.82960371,102.881376908,434.347720162,0.0,243.2593065,310.10971186,669.3368396,577.366732899,56.6466996096,35.3234070912
 12/18  10:00:00,1312.89049947,102.991083627,437.498794591,0.0,243.2593065,302.612436532,608.143405614,536.19976662,42.4850247072,29.4586142862
 12/18  11:00:00,1321.90924652,103.085657617,438.640142274,0.0,243.2593065,310.10971186,596.729717614,484.21604962,70.808374512,41.7052934825
 12/18  12:00:00,1323.61910483,103.261985615,437.863842219,0.0,243.2593065,310.10971186,576.581515671,461.086919762,70.808374512,44.6862213966
 12/18  13:00:00,1281.41038828,103.63067127,436.923707488,0.0,243.2593065,310.10971186,550.51171454,444.158923818,70.808374512,35.5444162105
 12/18  14:00:00,1315.88245665,104.198941628,437.189815809,0.0,243.2593065,302.612436532,531.175557308,429.840164157,56.6466996096,44.6886935411
 12/18  15:00:00,1304.8462923,105.084055374,423.887903871,0.0,243.2593065,302.612436532,481.370392833,403.216759443,42.4850247072,35.6686086831
 12/18  16:00:00,1302.82579134,105.570261868,421.945785693,0.0,243.2593065,302.612436532,495.773877228,403.516365165,56.6466996096,35.6108124531
 12/18  17:00:00,1321.77860119,105.859392846,430.489256159,0.0,243.2593065,310.10971186,553.707575853,433.321322374,84.9700494144,35.4162040648
 12/18  18:00:00,1340.42547749,106.439130972,425.61323523,0.0,243.2593065,310.10971186,556.632811152,454.138115839,84.9700494144,17.5246458985
 12/18  19:00:00,1080.40197645,102.087533008,424.380440513,0.0,166.938926447,199.110933808,536.655009535,434.21787627,84.9700494144,17.4670838502
 12/18  20:00:00,1085.47999415,102.087533008,428.70774988,0.0,166.938926447,191.61365848,518.259459252,444.146505783,56.6466996096,17.4662538595
 12/18  21:00:00,953.827400861,102.087533008,426.061875608,0.0,100.150657288,124.558693486,563.608266783,489.495128687,56.6466996096,17.4664384863
 12/18  22:00:00,908.122146659,102.087533008,424.447728219,0.0,100.150657288,124.558693486,556.092314105,496.186750667,42.4850247072,17.4205387305
 12/18  23:00:00,844.282606508,102.087533008,423.805193057,0.0,46.0930336215,124.558693486,560.680066032,514.943436436,28.3233498048,17.4132797911
 12/18  24:00:00,846.20832704,102.087533008,421.973288043,0.0,46.0930336215,124.558693486,542.370375748,519.49239427,14.1616749024,8.71630657572
 12/19  01:00:00,854.795140912,102.087533008,418.356660054,0.0,46.0930336215,113.312780494,547.193794564,524.114028098,5.66466996096,17.4150965046
 12/19  02:00:00,849.509469518,102.087533008,413.713111863,0.0,46.0930336215,113.312780494,550.449950304,527.372023517,5.66466996096,17.4132568269
 12/19  03:00:00,838.0337148,102.087533008,414.877436752,0.0,46.0930336215,113.312780494,545.83300574,531.452023378,5.66466996096,8.71631240115
 12/19  04:00:00,831.115816666,102.087533008,416.743797673,0.0,46.0930336215,113.312780494,557.702991879,534.623409965,5.66466996096,17.4149119535
 12/19  05:00:00,928.639017965,102.087533008,417.534250675,0.0,100.150657288,148.969399434,539.285238473,516.207447636,5.66466996096,17.4131208757
